Names,Niche Link,Atheletic Division,Acceptance Rate,Undergrad #,Graduation Rate,School Website
Mercer University,https://www.niche.com/colleges/mercer-university/,NCAA Division I-FCS,69%,"4,035",66%,http://www.mercer.edu
Oregon State University,https://www.niche.com/colleges/oregon-state-university/,NCAA Division I-FBS,77%,"18,852",63%,http://oregonstate.edu
University at Albany--SUNY,https://www.niche.com/colleges/university-at-albany-suny/,NCAA Division I-FCS,54%,"12,421",66%,http://www.albany.edu
Washington State University,https://www.niche.com/colleges/washington-state-university/,NCAA Division I-FBS,72%,"21,652",67%,http://wsu.edu/
Adelphi University,https://www.niche.com/colleges/adelphi-university/,NCAA Division II (without football),70%,"4,742",68%,http://www.adelphi.edu/
Kansas State University,https://www.niche.com/colleges/kansas-state-university/,NCAA Division I-FBS,94%,"17,699",63%,http://www.k-state.edu
The New School,https://www.niche.com/colleges/the-new-school/,DNE,60%,"6,181",68%,http://www.newschool.edu/
University of Cincinnati,https://www.niche.com/colleges/university-of-cincinnati/,NCAA Division I-FBS,76%,"21,558",67%,http://www.uc.edu
University of Kentucky,https://www.niche.com/colleges/university-of-kentucky/,NCAA Division I-FBS,91%,"20,833",64%,http://www.uky.edu
St. John Fisher College,https://www.niche.com/colleges/st-john-fisher-college/,NCAA Division III (with football),65%,"2,601",73%,http://www.sjfc.edu
St. John's University,https://www.niche.com/colleges/st-johns-university---new-york/,NCAA Division I (without football),63%,"11,496",58%,http://www.stjohns.edu
Union University,https://www.niche.com/colleges/union-university/,NCAA Division II (without football),63%,"1,619",68%,http://www.uu.edu
University of Arkansas,https://www.niche.com/colleges/university-of-arkansas/,NCAA Division I-FBS,63%,"19,853",64%,http://www.uark.edu
University of Mississippi,https://www.niche.com/colleges/university-of-mississippi/,NCAA Division I-FBS,78%,"17,852",60%,http://www.olemiss.edu
Biola University,https://www.niche.com/colleges/biola-university/,NCAA Division II,65%,"3,947",72%,https://www.biola.edu
Missouri University of Science & Technology,https://www.niche.com/colleges/missouri-university-of-science--and--technology/,NCAA Division II (with football),79%,"6,215",64%,http://www.mst.edu/
Oklahoma State University,https://www.niche.com/colleges/oklahoma-state-university/,NCAA Division I-FBS,75%,"18,414",63%,http://www.okstate.edu/
University of Alabama--Birmingham,https://www.niche.com/colleges/university-of-alabama---birmingham/,NCAA Division I-FBS,58%,"8,971",53%,http://www.uab.edu
University of Hawaii--Manoa,https://www.niche.com/colleges/university-of-hawaii-at-manoa/,NCAA Division I-FBS,85%,"10,871",58%,http://www.manoa.hawaii.edu
University of Massachusetts--Lowell,https://www.niche.com/colleges/university-of-massachusetts---lowell/,NCAA Division I (without football),61%,"10,019",56%,http://www.uml.edu
University of Rhode Island,https://www.niche.com/colleges/university-of-rhode-island/,NCAA Division I-FCS,73%,"12,485",63%,https://www.uri.edu/
Virginia Commonwealth University,https://www.niche.com/colleges/virginia-commonwealth-university/,NCAA Division I (without football),81%,"20,264",62%,http://www.vcu.edu/
Edgewood College,https://www.niche.com/colleges/edgewood-college/,NCAA Division III (without football),76%,"1,450",63%,https://www.edgewood.edu
University of Central Florida,https://www.niche.com/colleges/university-of-central-florida/,NCAA Division I-FBS,50%,"38,508",69%,http://www.ucf.edu/
University of Idaho,https://www.niche.com/colleges/university-of-idaho/,NCAA Division I-FBS,76%,"7,269",56%,https://www.uidaho.edu
University of Maryland--Baltimore County,https://www.niche.com/colleges/university-of-maryland---baltimore-county/,NCAA Division I (without football),57%,"9,484",64%,http://umbc.edu
Montclair State University,https://www.niche.com/colleges/montclair-state-university/,NCAA Division III (with football),66%,"21,000",65%,http://www.montclair.edu
Seattle Pacific University,https://www.niche.com/colleges/seattle-pacific-university/,NCAA Division II (without football),87%,"2,998",71%,http://www.spu.edu
Ball State University,https://www.niche.com/colleges/ball-state-university/,NCAA Division I-FBS,62%,"15,110",58%,http://bsu.edu
Illinois State University,https://www.niche.com/colleges/illinois-state-university/,NCAA Division I-FCS,89%,"17,456",72%,https://illinoisstate.edu/
Ohio University,https://www.niche.com/colleges/ohio-university/,NCAA Division I-FBS,75%,"17,866",64%,http://www.ohio.edu
Rowan University,https://www.niche.com/colleges/rowan-university/,NCAA Division III (with football),71%,"12,731",71%,http://www.rowan.edu
University of Houston,https://www.niche.com/colleges/university-of-houston/,NCAA Division I-FBS,59%,"25,818",51%,http://www.uh.edu/
University of Louisville,https://www.niche.com/colleges/university-of-louisville/,NCAA Division I-FBS,73%,"12,434",53%,http://www.louisville.edu
Florida Institute of Technology,https://www.niche.com/colleges/florida-institute-of-technology/,NCAA Division II (with football),61%,"3,286",58%,http://www.fit.edu
Maryville University of St. Louis,https://www.niche.com/colleges/maryville-university/,NCAA Division II (without football),93%,"2,147",75%,http://www.maryville.edu
Mississippi State University,https://www.niche.com/colleges/mississippi-state-university/,NCAA Division I-FBS,56%,"16,695",60%,http://www.msstate.edu
Pace University,https://www.niche.com/colleges/pace-university/,NCAA Division II (with football),84%,"7,691",59%,http://www.pace.edu
Suffolk University,https://www.niche.com/colleges/suffolk-university/,NCAA Division III (without football),84%,"4,906",59%,http://www.suffolk.edu
University of Maine,https://www.niche.com/colleges/university-of-maine/,NCAA Division I-FCS,90%,"8,125",59%,https://umaine.edu
Immaculata University,https://www.niche.com/colleges/immaculata-university/,NCAA Division III (without football),82%,943,67%,https://www.immaculata.edu/
Lesley University,https://www.niche.com/colleges/lesley-university/,NCAA Division III (without football),64%,"1,541",55%,http://www.lesley.edu
Robert Morris University,https://www.niche.com/colleges/robert-morris-university---pennsylvania/,NCAA Division I-FCS,80%,"3,940",61%,https://rmu.edu/
University of Wyoming,https://www.niche.com/colleges/university-of-wyoming/,NCAA Division I-FBS,95%,"8,102",55%,http://www.uwyo.edu
Florida International University,https://www.niche.com/colleges/florida-international-university/,NCAA Division I-FBS,50%,"26,312",56%,http://www.fiu.edu
Georgia State University,https://www.niche.com/colleges/georgia-state-university/,NCAA Division I-FBS,59%,"19,208",53%,http://www.gsu.edu
Texas Tech University,https://www.niche.com/colleges/texas-tech-university/,NCAA Division I-FBS,63%,"26,627",60%,http://www.ttu.edu
University of New Mexico,https://www.niche.com/colleges/university-of-new-mexico/,NCAA Division I-FBS,58%,"15,926",45%,http://www.unm.edu/
Kent State University,https://www.niche.com/colleges/kent-state-university/,NCAA Division I-FBS,85%,"19,250",55%,http://www.kent.edu
Nova Southeastern University,https://www.niche.com/colleges/nova-southeastern-university/,NCAA Division II (without football),53%,"3,051",50%,http://www.nova.edu
University of Massachusetts--Boston,https://www.niche.com/colleges/university-of-massachusetts---boston/,NCAA Division III (without football),69%,"9,283",45%,http://www.umb.edu
Andrews University,https://www.niche.com/colleges/andrews-university/,USCAA,40%,"1,371",63%,http://www.andrews.edu
East Carolina University,https://www.niche.com/colleges/east-carolina-university/,NCAA Division I-FBS,70%,"19,754",61%,http://www.ecu.edu
