Name,Youvisit Link
Portland State University,http://www.youvisit.com/tour/pdx
Prairie View A&M University,https://www.youvisit.com/tour/pvamu/80121
Sam Houston State University,http://www.youvisit.com/tour/107285/125619/
San Francisco State University,https://www.youvisit.com/tour/sfsu/90483?id=43518
Spalding University,DNE
Tennessee State University,http://www.youvisit.com/tour/appstate
Tennessee Technological University,DNE
Texas A&M University--Commerce,https://www.youvisit.com/tour/utdallas?loc=trail2:2:1:1
Texas A&M University--Corpus Christi,https://www.youvisit.com/tour/utdallas?loc=trail2:2:1:1
Texas A&M University--Kingsville,https://www.youvisit.com/tour/utdallas?loc=trail2:2:1:1
Texas Southern University,https://www.youvisit.com/tour/panoramas/tsu/108750
Texas State University,http://www.youvisit.com/tour/mwsu
Texas Woman's University,http://www.youvisit.com/tour/panoramas/twu/80206?id=5854
Trevecca Nazarene University,DNE
Trinity International University,http://www.youvisit.com/tour/panoramas/lynn/91162?id=69413
University of Akron,http://www.youvisit.com/tour/panoramas/uakron/80209?id=20167
University of Alabama--Huntsville,http://www.youvisit.com/tour/63517/105602
University of Arkansas--Little Rock,DNE
University of Louisiana--Lafayette,https://www.youvisit.com/tour/dillard/92532?id=594846
University of Louisiana--Monroe,DNE
University of Maryland--Eastern Shore,https://www.youvisit.com/tour/116627/134771/
University of Memphis,DNE
University of Missouri--Kansas City,https://www.youvisit.com/tour/photos/umkc/80372?id=92204
University of Nebraska--Omaha,DNE
University of Nevada--Las Vegas,http://www.youvisit.com/tour/73836/93906/
University of New Orleans,https://www.youvisit.com/tour/dillard/92532?id=594846
University of Northern Colorado,http://www.youvisit.com/tour/unco/
University of North Texas,http://www.youvisit.com/tour/panoramas/unt/80255?id=5880
University of South Alabama,DNE
University of Southern Mississippi,DNE
University of Texas--El Paso,http://www.youvisit.com/tour/uta
University of Texas--Rio Grande Valley,http://www.youvisit.com/tour/utpb
University of Texas--San Antonio,https://www.youvisit.com/tour/utsa/90329?id=45462
University of the Cumberlands,http://www.youvisit.com/tour/59990/80231/
University of Toledo,http://www.youvisit.com/tour/77609/97162/
University of West Florida,http://www.youvisit.com/tour/uwf
University of West Georgia,DNE
University of Wisconsin--Milwaukee,https://www.youvisit.com/tour/uwm?id=185527
Valdosta State University,http://www.youvisit.com/tour/116597/134701
Wichita State University,http://www.youvisit.com/tour/mwsu
Wilmington University,https://www.youvisit.com/tour/photos/uncw/80246?id=15505
