Name,Panopath Link
Boston College,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652503798&idx=1&sn=b8087bfb7402062aa41820d164858203&chksm=f39e524cc4e9db5ae71fa87a856dc6db61c838701a9088e1bf6e2230db96b9d93707fcabb3f9&scene=21#wechat_redirect
College of William and Mary,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652515801&idx=1&sn=0216f4f3aa297d1ade535a628d161ce1&chksm=f39d8163c4ea0875d2d09c4fa1bb3c1a7f03d9469a2df9506bb0de756ca6dbdc28594e887f39&scene=21#wechat_redirect
University of California--Davis,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652512804&idx=1&sn=40de532ac96afcb2773dfddff6451157&chksm=f39d8e9ec4ea0788493b922d83f47e408064fd9682ed28e85da7a36e9d43060173b98c06f1f8&scene=21#wechat_redirect
University of California--San Diego,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652506515&idx=1&sn=facd5e8c84a1fa63c84d751bd859a0c6&chksm=f39da529c4ea2c3fd0d2f1e1492c26b78c88642bb5effdcd9e8b98c84165548088a293f099d2&scene=21#wechat_redirect
Boston University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652515489&idx=1&sn=3ac23e23349aeb1942c3ae2fa106903f&chksm=f39d801bc4ea090d64568af33c2dc7094e99f4a59d77c3e1928199615ba6cf525c8861aa4e70&scene=21#wechat_redirect
Case Western Reserve University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652499018&idx=1&sn=22b27ff6354fe2403c3b3d9c88e6a5b6&chksm=f39e40f0c4e9c9e663e2330a7687b21420ca7ee4f83a54cf754ade248877468d84b9d2ef5c1a&scene=21#wechat_redirect
Northeastern University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652504501&idx=1&sn=8f38115109bf22c4bfd47f4ad0aabee1&chksm=f39dad0fc4ea24197f0377f0843f70304f7c6011ebc249bca02075ac34b7590abb55132dd26b&scene=21#wechat_redirect
Tulane University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652510041&idx=1&sn=17323577df494c3d4228a6732fe82741&chksm=f39dbbe3c4ea32f571ed6504a4abbfb6ab63e7fa926452d19d012c636c9ab114f3cf0a56d474&scene=21#wechat_redirect
Pepperdine University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652505679&idx=1&sn=9b82073ddeb46043c8d5653618593996&chksm=f39daaf5c4ea23e3b4fd8caf581976662f4ba4e176f0dd50e480e205479dc257e1bd30f78706&scene=21#wechat_redirect
University of Georgia,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652515122&idx=1&sn=f3f9e8b1e182862475eea442d186af65&chksm=f39d8788c4ea0e9e6fb5037a6680cf71ae19950f6544e2ba3aaadacf9efa3ce42f106d78bbb4&scene=21#wechat_redirect
